target,feature,n,n_raw,outlier_filter,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
in_abs_error,direction_balance_abs_mean,2308,2515,iqr,-0.40525569107533105,0.40525569107533105,-0.3274323629865409,0.3274323629865409
in_abs_error,direction_balance_abs_p50,2291,2515,iqr,-0.3892859400634686,0.3892859400634686,-0.335265456287726,0.335265456287726
in_abs_error,in_flux_share_std,2158,2515,iqr,-0.3786780999400345,0.3786780999400345,-0.30514414811823787,0.30514414811823787
in_abs_error,out_flux_share_std,2158,2515,iqr,-0.3786780999400345,0.3786780999400345,-0.30515250407263034,0.30515250407263034
in_abs_error,candidate_direction_entropy_p10,2832,3222,iqr,0.37004216845336724,0.37004216845336724,0.26084652751072446,0.26084652751072446
in_abs_error,raw_candidate_component_area_mean_p10,2811,3222,iqr,0.36243630496715334,0.36243630496715334,0.20361891993018735,0.20361891993018735
in_abs_error,filtered_candidate_component_area_p90_max,2293,2515,iqr,0.3476787754905814,0.3476787754905814,0.2789252335846931,0.2789252335846931
in_abs_error,candidate_direction_entropy_mean,2849,3222,iqr,0.34028908599723084,0.34028908599723084,0.2017529056794508,0.2017529056794508
in_abs_error,candidate_direction_entropy_p50,2849,3222,iqr,0.33807922684677627,0.33807922684677627,0.2083403673336243,0.2083403673336243
in_abs_error,raw_candidate_component_area_p90_p50,2849,3222,iqr,0.3328482990970582,0.3328482990970582,0.18099162271055722,0.18099162271055722
in_abs_error,raw_candidate_component_area_p50_p10,2797,3222,iqr,0.3306055463722495,0.3306055463722495,0.18456595843541299,0.18456595843541299
in_abs_error,filtered_to_raw_traffic_ratio_p50,2849,3222,iqr,0.3284746037799998,0.3284746037799998,0.24610244802180548,0.24610244802180548
in_abs_error,raw_candidate_component_area_p90_p10,2679,3222,iqr,0.3213516723164626,0.3213516723164626,0.16270955845378585,0.16270955845378585
in_abs_error,raw_candidate_component_area_p90_mean,2849,3222,iqr,0.31812114611890757,0.31812114611890757,0.16518478883476154,0.16518478883476154
in_abs_error,filtered_to_raw_traffic_ratio_p10,2849,3222,iqr,0.3176437217025382,0.3176437217025382,0.2567381727151527,0.2567381727151527
