case,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
in_low_flow_under,frame_diff_mean_p90,279,0.7584291033197276,0.7584291033197276,0.6146680799174781,0.6146680799174781
in_low_flow_under,frame_diff_p90_p90,279,0.7538843132931622,0.7538843132931622,0.6172582904838841,0.6172582904838841
in_low_flow_under,frame_diff_changed_ratio_10_p50,279,0.7478270830078314,0.7478270830078314,0.6751093083248754,0.6751093083248754
in_low_flow_under,frame_diff_changed_ratio_10_mean,279,0.746404590131417,0.746404590131417,0.6759991253075677,0.6759991253075677
in_low_flow_under,frame_diff_mean_mean,279,0.7355191156267293,0.7355191156267293,0.5718315808851389,0.5718315808851389
in_low_flow_under,frame_diff_mean_p50,279,0.7175129099994759,0.7175129099994759,0.5522501601380455,0.5522501601380455
in_low_flow_under,frame_diff_p90_mean,279,0.7163263275530595,0.7163263275530595,0.598643805754762,0.598643805754762
in_low_flow_under,frame_diff_changed_ratio_10_p90,279,0.7117891659045951,0.7117891659045951,0.6598740174885884,0.6598740174885884
in_low_flow_under,frame_diff_p90_p50,279,0.6513277547340715,0.6513277547340715,0.5138186324424195,0.5138186324424195
in_low_flow_under,entrance_saturation_mean_std,279,0.6375086195385228,0.6375086195385228,0.5911693251677176,0.5911693251677176
in_low_flow_under,frame_diff_changed_ratio_10_p10,279,0.6188839124733686,0.6188839124733686,0.48196721801712944,0.48196721801712944
in_low_flow_under,frame_diff_changed_ratio_10_std,279,0.6119813698916525,0.6119813698916525,0.6068381086240449,0.6068381086240449
in_low_flow_under,frame_diff_mean_p10,279,0.5888170298957319,0.5888170298957319,0.34830207648596234,0.34830207648596234
in_low_flow_under,frame_diff_mean_std,279,0.5768586495670435,0.5768586495670435,0.6239048545638685,0.6239048545638685
in_low_flow_under,background_value_std_std,279,0.5733931392853179,0.5733931392853179,0.56218840252072,0.56218840252072
in_low_flow_under,frame_diff_changed_ratio_25_mean,279,0.5610104028959391,0.5610104028959391,0.5347233800961021,0.5347233800961021
in_low_flow_under,entrance_gray_entropy_std,279,0.557011675187615,0.557011675187615,0.5175630088084126,0.5175630088084126
