group_id,representative_feature,best_target,best_abs_r,best_r,mean_abs_r,non_null_targets,group_size
1,background_gray_p05_std,out_abs_error,0.1899000788100553,0.1899000788100553,0.1678674558961051,4,1
2,background_gray_p50_std,sum_abs_error,0.33093518867263483,0.33093518867263483,0.3176519746361034,4,1
3,background_value_std_std,sum_abs_error,0.3561847722797104,0.3561847722797104,0.34136031204083667,4,1
4,band_direction_entropy_max,out_abs_error,0.26978626104770953,-0.26978626104770953,0.25201676334582035,4,1
5,band_direction_entropy_p50,out_abs_error,0.2572742740383402,-0.2572742740383402,0.24236323241789595,4,3
6,band_direction_entropy_min,out_abs_error,0.09800840198492575,-0.09800840198492575,0.08239556987317806,4,1
7,band_direction_entropy_p90,out_abs_error,0.30682080229991515,-0.30682080229991515,0.29436775596979053,4,1
8,band_direction_entropy_std,out_abs_error,0.10413728687360295,0.10413728687360295,0.08830873891316277,4,1
9,band_flow_mag_p90_min,sum_abs_error,0.3753991434569957,0.3753991434569957,0.36177360031451766,4,4
10,bottom_filtered_candidate_pixels_p10,sum_abs_error,0.2995073523992236,0.2995073523992236,0.291049699590136,4,1
11,bottom_filtered_in_flux_p10,in_abs_error,0.1293411796538243,0.1293411796538243,0.11374759478831645,4,1
12,bottom_filtered_out_flux_p10,in_abs_error,0.16389982803919254,0.16389982803919254,0.1493767891819231,4,1
13,bottom_raw_candidate_pixels_min,in_abs_error,0.1472695706183926,0.1472695706183926,0.12323508549308229,4,1
14,bottom_raw_candidate_pixels_p10,sum_abs_error,0.3563985201355002,0.3563985201355002,0.3456458279914163,4,2
15,bottom_filtered_in_flux_max,sum_abs_error,0.3151627110718062,0.3151627110718062,0.29985529910139364,4,2
16,bottom_raw_in_flux_p10,in_abs_error,0.2078308229283874,0.2078308229283874,0.2019749069775198,4,1
17,bottom_raw_in_flux_p50,sum_abs_error,0.38871785051650526,0.38871785051650526,0.3755295688334999,4,1
18,bottom_raw_out_flux_p10,sum_abs_error,0.30550342142770576,0.30550342142770576,0.2973319768630519,4,1
19,candidate_direction_entropy_max,sum_abs_error,0.2618865026234201,0.2618865026234201,0.24981973033983068,4,1
20,candidate_direction_entropy_min,sum_abs_error,0.32749226217868327,0.32749226217868327,0.31537825152618726,4,1
21,candidate_direction_entropy_std,out_abs_error,0.03193026831229193,0.03193026831229193,0.02067127536763306,4,1
22,direction_balance_abs_max,in_abs_error,0.012191316510383205,0.012191316510383205,0.005966758515628616,4,1
23,direction_balance_abs_min,sum_abs_error,0.19349025862403388,-0.19349025862403388,0.1842037367232343,4,1
24,direction_balance_abs_p10,sum_abs_error,0.2834042249478956,-0.2834042249478956,0.26976022854409343,4,1
25,direction_balance_abs_p90,sum_abs_error,0.2854440532881305,-0.2854440532881305,0.27499140990414533,4,1
26,direction_balance_abs_std,sum_abs_error,0.21545364102615083,0.21545364102615083,0.2047834163091528,4,1
27,entrance_bright_ratio_min,sum_abs_error,0.08990840350828574,-0.08990840350828574,0.0864617673403764,4,1
28,entrance_bright_ratio_std,out_abs_error,0.027326637056066177,0.027326637056066177,0.014179187760666694,4,1
29,entrance_dark_ratio_std,in_abs_error,0.25275281951882805,0.25275281951882805,0.2357996971718106,4,1
30,entrance_gray_dynamic_range_std,sum_abs_error,0.2944903126601161,0.2944903126601161,0.2825591913374382,4,1
31,entrance_gray_entropy_std,out_abs_error,0.15760193529261604,0.15760193529261604,0.14724858994274054,4,1
32,entrance_gray_mean_std,out_abs_error,0.28282047495487816,0.28282047495487816,0.2697893255194416,4,1
33,entrance_gray_p05_std,out_abs_error,0.09011477546329402,0.09011477546329402,0.06495892827094643,4,1
34,entrance_gray_p50_std,out_abs_error,0.16837554159648305,0.16837554159648305,0.1569052419488884,4,1
35,entrance_gray_p95_std,sum_abs_error,0.43472242006197304,0.43472242006197304,0.41858215308610836,4,1
36,entrance_gray_std_std,sum_abs_error,0.3482966549158801,0.3482966549158801,0.3343608224000417,4,1
37,entrance_saturation_mean_std,out_abs_error,0.14172662489282428,0.14172662489282428,0.13460870709850223,4,1
38,entrance_saturation_std_min,in_abs_error,0.07380319901642486,-0.07380319901642486,0.06850568033385317,4,1
39,entrance_saturation_std_std,sum_abs_error,0.13366415922420963,0.13366415922420963,0.1292622497322928,4,1
40,entrance_value_mean_std,out_abs_error,0.3352605211725248,0.3352605211725248,0.32063112157823603,4,1
41,entrance_value_std_p50,out_abs_error,0.26655993302708103,0.26655993302708103,0.25025147217791943,4,4
42,entrance_value_std_min,out_abs_error,0.10497908764500928,0.10497908764500928,0.09196922977904964,4,1
43,entrance_value_std_p10,out_abs_error,0.23503138753210728,0.23503138753210728,0.22208212466701066,4,1
44,entrance_value_std_std,out_abs_error,0.1433245314701158,0.1433245314701158,0.1298698971852739,4,1
45,filtered_candidate_component_area_p90_min,sum_abs_error,0.1467315780364731,0.1467315780364731,0.14159802887442363,4,2
46,filtered_candidate_component_area_p90_p10,sum_abs_error,0.3340043926341475,0.3340043926341475,0.3188828617433155,4,3
47,filtered_candidate_component_area_p90_mean,out_abs_error,0.2915461465241403,0.2915461465241403,0.27527163055519366,4,12
48,filtered_candidate_component_area_p50_min,out_abs_error,0.0302586419805446,-0.0302586419805446,0.028092487074416934,4,1
49,filtered_to_raw_traffic_ratio_max,sum_abs_error,0.17543465301883845,0.17543465301883845,0.16699916331158282,4,1
50,filtered_to_raw_traffic_ratio_p50,sum_abs_error,0.31352436328127486,0.31352436328127486,0.29870522570267616,4,1
51,filtered_to_raw_traffic_ratio_p90,out_abs_error,0.17239379749083153,0.17239379749083153,0.16065680069393878,4,1
52,filtered_to_raw_traffic_ratio_std,in_abs_error,0.04640658329715965,-0.04640658329715965,0.03911827082966168,4,1
53,frame_diff_changed_ratio_10_min,sum_abs_error,0.41699252744819587,0.41699252744819587,0.4026562682881065,4,1
54,frame_diff_changed_ratio_25_min,sum_abs_error,0.359426740058684,0.359426740058684,0.34757565751816705,4,1
55,frame_diff_mean_min,sum_abs_error,0.4723373409044789,0.4723373409044789,0.4561591444225215,4,2
56,out_flux_share_min,sum_abs_error,0.06527223794361457,-0.06527223794361457,0.06211232341013402,4,2
57,out_flux_share_mean,in_abs_error,0.019663859460148436,-0.019663859460148436,0.01224145063112927,4,2
58,in_flux_share_min,sum_abs_error,0.05537686012560471,-0.05537686012560471,0.05253296215992604,4,2
59,out_flux_share_p90,total_abs_error,0.010092646134661187,-0.010092646134661187,0.008334638094065606,4,2
60,in_flux_share_p50,in_abs_error,0.04717884858020288,0.04717884858020288,0.030119666186581087,4,2
61,in_flux_share_p90,in_abs_error,0.007847312239487703,-0.007847312239487703,0.006492248622656106,4,2
62,in_flux_share_std,sum_abs_error,0.13357886735031996,-0.13357886735031996,0.12787617056535203,4,2
63,left_filtered_candidate_pixels_p10,sum_abs_error,0.30953484721094077,0.30953484721094077,0.3010648155894319,4,1
64,left_filtered_in_flux_max,out_abs_error,0.2769091612244657,0.2769091612244657,0.2593816316890775,4,1
65,left_filtered_in_flux_p10,out_abs_error,0.09817052181216376,0.09817052181216376,0.08554488974695709,4,1
66,left_filtered_out_flux_max,out_abs_error,0.30459772065693275,0.30459772065693275,0.28637795890597434,4,1
67,left_filtered_out_flux_p10,in_abs_error,0.10867605212119884,0.10867605212119884,0.09280299439809846,4,1
68,left_raw_candidate_pixels_min,out_abs_error,0.1330818325345146,0.1330818325345146,0.126893431679106,4,1
69,left_filtered_out_flux_p50,sum_abs_error,0.358679114599101,0.358679114599101,0.3475530217248684,4,2
70,left_raw_in_flux_max,out_abs_error,0.2302255344681611,0.2302255344681611,0.21348995628359188,4,1
71,left_raw_in_flux_p10,total_abs_error,0.20180350951138779,0.20180350951138779,0.19646685506993028,4,1
72,left_raw_in_flux_p50,sum_abs_error,0.38655170640113473,0.38655170640113473,0.3738324654793794,4,2
73,left_raw_out_flux_max,out_abs_error,0.26737765058446544,0.26737765058446544,0.24892446084805653,4,1
