window, start_sec, end_sec, in_event_count, out_event_count, in_count_est_sum   , out_count_est_sum   , in_count_round_sum, out_count_round_sum, net_count_round
     0,       0.0,     3.0,              2,               2, 1007.6849375915527 , 1855.0562583303451  ,               1007,                1855, -848
     1,       3.0,     6.0,              2,               7,  721.6075142383576 ,   14.186072607040403,                722,                  15, 707
     2,       6.0,     9.0,              5,               3,  162.39475988388062, 1013.3247351264954  ,                162,                1014, -852
     3,       9.0,    12.0,              3,               7, 2274.4506743812562 ,   55.17818914413453 ,               2275,                  54, 2221
     4,      12.0,    15.0,              1,               3, 1404.249061279297  , 1131.2609949100017  ,               1404,                1131, 273
     5,      15.0,    18.0,              2,               1, 4002.054645118714  ,  242.15093600302936 ,               4002,                 242, 3760
     6,      18.0,    21.0,              1,               5, 1085.7001935100554 ,  371.3189982389659  ,               1086,                 371, 715
     7,      21.0,    24.0,              4,               5, 2485.453217704296  ,  451.78590593516833 ,               2486,                 450, 2036
     8,      24.0,    27.0,              1,               3, 2153.4280099868774 , 1371.618927178383   ,               2153,                1371, 782
     9,      27.0,    30.0,              2,               5, 1318.0350649356842 ,  336.93274197101596 ,               1318,                 337, 981
    10,      30.0,    33.0,              2,               4, 1186.7119323396682 , 1016.3697349646689  ,               1187,                1017, 170
    11,      33.0,    36.0,              4,               2, 2027.084710035324  , 2073.4639609718324  ,               2026,                2074, -48
    12,      36.0,    39.0,              2,               2, 2409.9658749389646 ,  444.6401648712158  ,               2410,                 445, 1965
    13,      39.0,    42.0,              2,               2,  983.3235515403748 ,  831.0353161251544  ,                984,                 831, 153
    14,      42.0,    45.0,              2,               4, 1686.6983555179836 ,  947.0596867883206  ,               1686,                 948, 738
    15,      45.0,    48.0,              2,               3, 1740.7058171415329 ,  579.9262019270658  ,               1741,                 579, 1162
    16,      48.0,    51.0,              2,               2, 1671.117452430725  , 1815.000269393921   ,               1671,                1815, -144
    17,      51.0,    54.0,              5,               5,  609.4787034201622 ,  276.7635603749752  ,                610,                 276, 334
    18,      54.0,    57.0,              4,               1,  947.370810392797  , 1182.72210272789    ,                948,                1183, -235
    19,      57.0,    60.0,              1,               3,  986.964599533081  , 1068.733518130034   ,                987,                1070, -83
    20,      60.0,    63.0,              2,               2, 1508.9348839187624 ,  748.4361048221589  ,               1509,                 748, 761
    21,      63.0,    66.0,              2,               2, 3257.060566329956  , 1235.646905887127   ,               3257,                1236, 2021
    22,      66.0,    69.0,              2,               2,  909.7476556313038 , 1913.9063712120055  ,                910,                1914, -1004
    23,      69.0,    72.0,              2,               1,  461.58541000664235,  507.91201657772064 ,                461,                 508, -47
    24,      72.0,    75.0,              3,               4, 1731.99613571167   , 1506.6705023670197  ,               1732,                1507, 225
    25,      75.0,    78.0,              1,               3, 1006.5425062561035 ,  653.4063892602921  ,               1007,                 654, 353
    26,      78.0,    81.0,              2,               2, 1404.179729576111  , 2190.161210861206   ,               1404,                2190, -786
    27,      81.0,    84.0,              1,               1, 1116.1562662506103 , 1480.4322650909423  ,               1116,                1480, -364
    28,      84.0,    87.0,              2,               5, 3657.8547973775862 , 1583.5694787991047  ,               3658,                1583, 2075
    29,      87.0,    90.0,              1,               4, 1100.3525310516357 ,  437.7974228774011  ,               1100,                 437, 663
    30,      90.0,    93.0,              1,               3,  537.7857244491577 ,  432.177405166626   ,                538,                 432, 106
    31,      93.0,    96.0,              2,               2, 2186.905617952347  , 1276.1438961982726  ,               2186,                1276, 910
    32,      96.0,    99.0,              1,               3,  374.5191855430603 , 1653.1962088274954  ,                375,                1653, -1278
    33,      99.0,   102.0,              3,               5, 2275.7890394210817 ,  439.6162287369371  ,               2276,                 440, 1836
    34,     102.0,   105.0,              2,               2,  503.7532037883997 ,  495.13297021865844 ,                504,                 495, 9
    35,     105.0,   108.0,              2,               2, 3703.7297786438467 , 2216.43126581192    ,               3703,                2216, 1487
    36,     108.0,   111.0,              1,               3, 1074.3652883911134 ,  804.4837342858315  ,               1074,                 805, 269
    37,     111.0,   114.0,              5,               6, 1531.8425953435897 ,   74.01415606975556 ,               1532,                  74, 1458
    38,     114.0,   117.0,              3,               3,  436.6170925092697 , 1010.7416720485687  ,                436,                1010, -574
    39,     117.0,   120.0,              2,               4, 3840.0529865646363 ,  348.7096041344106  ,               3840,                 348, 3492
    40,     120.0,   123.0,              1,               2, 1256.8249731826781 , 2158.6511294555667  ,               1257,                2158, -901
    41,     123.0,   126.0,              2,               2,  919.7067124176025 , 1261.9232067871094  ,                919,                1261, -342
    42,     126.0,   129.0,              3,               6, 1957.7788399648666 ,  481.63257603108883 ,               1958,                 481, 1477
    43,     129.0,   132.0,              1,               3,  617.3516311264038 ,  621.1768405109644  ,                617,                 622, -5
    44,     132.0,   135.0,              3,               3, 2225.0591259765624 ,  539.0218376553058  ,               2225,                 539, 1686
    45,     135.0,   138.0,              5,               2,  810.4252260839938 ,  700.3086262893677  ,                810,                 700, 110
    46,     138.0,   141.0,              5,               5,  366.4648475635051 ,  381.9101804113388  ,                367,                 383, -16
    47,     141.0,   144.0,              6,               6,   52.06873608708382,  157.34964308083056 ,                 52,                 159, -107
    48,     144.0,   147.0,              2,               2, 1704.9823596668243 ,  699.057608692646   ,               1705,                 699, 1006
    49,     147.0,   150.0,              2,               2,  763.7714269828796 , 1634.0206715226172  ,                764,                1634, -870
