frame,time_sec,in_flux,out_flux,net_flux,in_event_active,out_event_active
1,0.041666666666666664,1450.3658447265625,2339.476806640625,-889.1109619140625,True,True
2,0.08333333333333333,1991.05859375,2887.44140625,-896.3828125,True,True
3,0.125,1283.1802978515625,4941.70166015625,-3658.5213623046875,True,True
4,0.16666666666666666,121.38336181640625,7072.2080078125,-6950.824645996094,True,True
5,0.20833333333333334,1216.0157470703125,3383.59912109375,-2167.5833740234375,True,True
6,0.25,2284.75439453125,4876.80224609375,-2592.0478515625,True,True
7,0.2916666666666667,1659.9918212890625,1816.90625,-156.9144287109375,True,True
8,0.3333333333333333,1192.3138427734375,1680.166748046875,-487.8529052734375,True,True
9,0.375,1987.6165771484375,5409.91015625,-3422.2935791015625,True,True
10,0.4166666666666667,2121.08349609375,3902.271484375,-1781.18798828125,True,True
11,0.4583333333333333,835.646240234375,3652.810302734375,-2817.1640625,True,True
12,0.5,1267.618896484375,6172.6416015625,-4905.022705078125,True,True
13,0.5416666666666666,763.838134765625,4000.703857421875,-3236.86572265625,True,True
14,0.5833333333333334,3392.506103515625,3738.675048828125,-346.1689453125,True,True
15,0.625,852.4584350585938,6038.806640625,-5186.348205566406,True,True
16,0.6666666666666666,1594.1822509765625,1568.4000244140625,25.7822265625,True,True
17,0.7083333333333334,895.1947631835938,2562.34912109375,-1667.1543579101562,True,True
18,0.75,886.0015869140625,3215.65966796875,-2329.6580810546875,True,True
19,0.7916666666666666,24.35551643371582,8772.7880859375,-8748.432569503784,True,True
20,0.8333333333333334,874.8140258789062,6563.2978515625,-5688.483825683594,True,True
21,0.875,1042.5206298828125,2535.5322265625,-1493.0115966796875,True,True
22,0.9166666666666666,3754.154541015625,3009.763671875,744.390869140625,True,True
23,0.9583333333333334,4057.6982421875,159.27468872070312,3898.423553466797,True,True
24,1.0,238.69342041015625,4189.54443359375,-3950.8510131835938,True,True
25,1.0416666666666667,1833.0501708984375,1892.5693359375,-59.5191650390625,True,True
26,1.0833333333333333,474.9487609863281,4209.7431640625,-3734.794403076172,True,True
27,1.125,561.4351196289062,7946.93505859375,-7385.499938964844,True,True
28,1.1666666666666667,1527.09228515625,4114.1591796875,-2587.06689453125,True,True
29,1.2083333333333333,2719.471435546875,5335.33837890625,-2615.866943359375,True,True
30,1.25,781.647216796875,1682.36865234375,-900.721435546875,True,True
31,1.2916666666666667,2394.79833984375,3079.5283203125,-684.72998046875,True,True
32,1.3333333333333333,2086.31982421875,5332.1435546875,-3245.82373046875,True,True
33,1.375,4255.43310546875,2173.427734375,2082.00537109375,True,True
34,1.4166666666666667,2860.60498046875,2833.869140625,26.73583984375,True,True
35,1.4583333333333333,3243.513671875,2732.9833984375,510.5302734375,True,True
36,1.5,1403.8468017578125,3259.825927734375,-1855.9791259765625,True,True
37,1.5416666666666667,2827.654541015625,2354.523681640625,473.130859375,True,True
38,1.5833333333333333,2666.037109375,780.8248291015625,1885.2122802734375,True,True
39,1.625,2048.123291015625,2311.953369140625,-263.830078125,True,True
40,1.6666666666666667,2405.549560546875,1184.186279296875,1221.36328125,True,True
41,1.7083333333333333,667.8347778320312,1673.84033203125,-1006.0055541992188,True,True
42,1.75,254.94839477539062,1760.6568603515625,-1505.7084655761719,True,True
43,1.7916666666666667,44.51968002319336,2661.171630859375,-2616.6519508361816,True,True
44,1.8333333333333333,429.057373046875,1364.0775146484375,-935.0201416015625,True,True
45,1.875,761.818115234375,706.9462890625,54.871826171875,True,True
46,1.9166666666666667,73.96857452392578,1805.282958984375,-1731.3143844604492,True,True
47,1.9583333333333333,865.1246948242188,592.7476196289062,272.3770751953125,True,True
48,2.0,711.8779296875,647.456787109375,64.421142578125,True,True
49,2.0416666666666665,663.0355834960938,1925.6591796875,-1262.6235961914062,True,True
50,2.0833333333333335,377.1781005859375,3129.216796875,-2752.0386962890625,False,False
51,2.125,864.04345703125,2614.82470703125,-1750.78125,False,False
52,2.1666666666666665,942.7001953125,2044.1124267578125,-1101.4122314453125,False,False
53,2.2083333333333335,1069.3695068359375,4255.005859375,-3185.6363525390625,False,False
54,2.25,270.0732727050781,1666.54736328125,-1396.4740905761719,False,False
55,2.2916666666666665,1574.2208251953125,1091.0240478515625,483.19677734375,False,False
56,2.3333333333333335,2217.7607421875,642.5317993164062,1575.2289428710938,True,True
57,2.375,1056.082763671875,734.7131958007812,321.36956787109375,True,True
58,2.4166666666666665,115.56109619140625,1675.064208984375,-1559.5031127929688,True,True
59,2.4583333333333335,122.5590591430664,2631.440673828125,-2508.8816146850586,True,True
60,2.5,1551.966796875,1410.51513671875,141.45166015625,True,True
